"Study","Design","Sheet","Correlation","N"
"Kirby 2002","continuous age",3,NA,NA
"Hampton 2018","continuous age",5,"0.042",NA
"Gollner 2018","continuous age",9,"0.134","96"
"Johnson 2015","continuous age",14,"-0.225","197"
"Bickel 2014","continuous age",15,"-0.0466","1163"
"Jarmolowicz 2012","continuous age",16,"-0.121","904"
"Boyle 2012","continuous age",17,"-0.035","388"
"Löckenhoff 2011","continuous age",22,"0.33","98"
"Read 2004","continuous age",23,"0.143333333333333","123"
"Reimers 2009","continuous age",24,"-0.05","42863"
"Rieger 2015","continuous age",25,"0.02","707"
"Seaman 2018","continuous age",27,"0.12","89"
"Stoeckel 2013","continuous age",29,"-0.585","19"
"Sheffer 2016","continuous age",30,"0.05","1122"
"Tschernegg 2015","continuous age",31,NA,"70"
