"Study.Identifier","Design","Incentive","Magnitude.of.Time.Delay","Measure","n_Younger","n_Older","age_mean_Younger","age_mean_Older","age_range_Younger","age_range_Older","age_sd_Younger","age_sd_Older","fishers_z","var_fishers_z"
"Roalf 2012","extreme group","real ","days","parameter ",29,25,30.14,71.3,"21–45 ","65–85 ",5.53,4.36,0.140050359014407,0.0196078431372549
"Bauer 2010","extreme group","hypothetical","years","proportion",291,241,24.017,39.909,"20-29","30-74",NA,NA,0.0624659370813364,0.00189035916824197
"Eppinger 2012","extreme group","real","weeks","proportion",15,15,20.9,69.7,"18-28","65-80",3,4.4,-0.845671595744602,0.037037037037037
"Halfmann 2016","extreme group","hypothetical","days","parameter",77,36,21,77,"","",NA,NA,-0.102681009347155,0.00909090909090909
"Buono 2015","extreme group","Hypothetical","years","Parameter",20,18,22.5,50,"18-27","45-55",NA,NA,0.346614431198436,0.0285714285714286
"Eppinger 2018","extreme group","real","weeks","proportion",25,25,24.8,71.2,"","",2.5,5.6,-0.306261062657478,0.0212765957446809
"Whelan 2009","extreme group","hypothetical","years","parameter",16,10,46,73,"","",3.4,4.12,0.0974715694939264,0.0434782608695652
"Liu 2016","extreme group","hypothetical","months","parameter",745,192,43.27,68.63,"31-60","61-87",6.74,5.46,0.0717689972300975,0.00107066381156317
"Garza 2016","extreme group","hypothetical","days/weeks/months/years","parameter ",139,9,57,70.5,"50-64","65-76",NA,NA,-0.0287890158733157,0.00689655172413793
"Li 2013","extreme group","hypothetical","months ","parameter",173,163,24.76,66.39,"18-29","60-82",2.91,4.93,-0.0804116021864868,0.003003003003003
"Sparrow 2019","extreme group","real","days","proportion",36,36,21,70.11,"18-30","65-85",3.44,4.91,0.0292417541197954,0.0144927536231884
"Sparrow 2018 Study 1","extreme group","real","days","proportion",32,30,25.28,70.57,"18-35","65-85",5.22,4.88,-0.512342082892121,0.0169491525423729
"Sparrow 2018 Study 2","extreme group","real","days","proportion",31,23,20.84,71.35,"18-30","65-97",2.67,6.96,-0.510425045525061,0.0196078431372549
