label,n,m1_int,m1_age,m1_r2,m1_F,m1_p,m2_int,m2_age,m2_age2,m2_r2,m2_F,m2_p,delta_F,delta_p,twolines
Chao et al. (2009),175,-0.24,0.05,0.01,1.05,0.31,-0.47,0.16,-0.01,0.01,0.61,0.55,0.17,0.68,0
Halfmann et al (2013),48,-0.17,0.02,0.00,0.11,0.74,-2.09,0.76,-0.06,0.04,1.00,0.38,1.88,0.18,0
Hampton et al. (2018),946,-0.13,0.04,0.00,1.10,0.29,0.68,-0.38,0.05,0.00,1.77,0.17,2.44,0.12,0
Kirby et al. (2002),516,-0.42,0.13,0.04,22.67,0.00,-0.48,0.17,0.00,0.04,11.36,0.00,0.09,0.77,0
Lee et al. (2018),11157,0.21,-0.08,0.01,53.95,0.00,0.28,-0.13,0.01,0.01,27.33,0.00,0.71,0.40,0
Lempert et al. (2018),75,-0.73,0.10,0.00,0.35,0.56,2.90,-0.88,0.07,0.01,0.23,0.80,0.11,0.74,0
Li et al. (2020),619,-0.17,0.04,0.00,2.39,0.12,0.38,-0.24,0.03,0.01,2.84,0.06,3.28,0.07,1
Loeckenhoff et al. (2011),98,-0.06,0.01,0.00,0.05,0.82,-0.42,0.17,-0.01,0.00,0.18,0.84,0.30,0.59,0
O'Hora et al (2016),840,0.03,-0.01,0.00,0.15,0.70,-0.11,0.07,-0.01,0.00,0.24,0.79,0.32,0.57,0
Seaman et al. (2016),92,0.10,-0.02,0.00,0.13,0.72,0.33,-0.13,0.01,0.00,0.10,0.90,0.08,0.78,0
Sisso et al. (2017),2630,0.02,-0.01,0.00,0.14,0.71,0.15,-0.06,0.01,0.00,0.33,0.72,0.52,0.47,0
Tschernegget al. (2015),70,1.61,-0.64,0.12,9.56,0.00,-4.21,3.48,-0.69,0.21,9.11,0.00,7.71,0.01,0
